slug,nom_opentraining,candidat_fedb,confiance
singlearmsupinatedtricepsextension,"Singlearmsupinatedtricepsextension","One Arm Supinated Dumbbell Triceps Extension",0.79
singlelegsquatx,"Singlelegsquatx","Single-Leg High Box Squat",0.71
smithmachinereardeltoidrow,"Smithmachinereardeltoidrow","Smith Machine Bent Over Row",0.64
smithmachineshrugs,"Smithmachineshrugs","Smith Machine Behind the Back Shrug",0.73
squatsx,"Squatsx","Sit Squats",0.77
squattobenchx,"Squattobenchx","Barbell Squat To A Bench",0.67
standingonearmbicepcurl,"Standingonearmbicepcurl","Standing One-Arm Cable Curl",0.73
stepupsx,"Stepupsx","Barbell Step Ups",0.60
straightarmpullover,"Straightarmpullover","Straight-Arm Dumbbell Pullover",0.79
tricepsextensions,"Tricepsextensions","Machine Triceps Extension",0.81
tricepspushdownwithrope,"Tricepspushdownwithrope","Triceps Pushdown",0.78
tricepspushdownwithvbar,"Tricepspushdownwithvbar","Triceps Pushdown",0.78
twoarmpreachercurl,"Twoarmpreachercurl","Preacher Curl",0.79
underhandpulldowns,"Underhandpulldowns","Underhand Cable Pulldowns",0.81
uprightrow,"Uprightrow","Upright Cable Row",0.70
walkinglunges,"Walkinglunges","Barbell Walking Lunge",0.71
widegripstandingbicepscurl,"Widegripstandingbicepscurl","Wide-Grip Standing Barbell Curl",0.76
widestancesquat,"Widestancesquat","Wide Stance Barbell Squat",0.76
